nume_actiune,timestamp
"Afisare Toti Distribuitorii","2025-05-30 13:23:41.208"
"Initiere Actualizare Stoc Produs: 001 -> 120","2025-05-30 13:24:08.826"
"Esec Actualizare Stoc Produs (ID Inexistent): 001","2025-05-30 13:24:08.848"
"Cautare Produse cu Stoc Redus: Limita=1","2025-05-30 13:24:19.781"
"Afisare Toate Produsele","2025-05-30 13:24:31.953"
"Test Logare Directa din Main - Pornire Aplicatie","2025-05-30 13:27:41.864"
"Inca un Test Logare din Main","2025-05-30 13:27:41.872"
"Afisare Toate Produsele","2025-05-30 13:27:45.836"
"Aplicatie Oprita","2025-05-31 13:53:13.534"
"Test Logare Directa din Main - Pornire Aplicatie","2025-05-31 13:53:18.563"
"Inca un Test Logare din Main","2025-05-31 13:53:18.572"
"Test Logare Directa din Main - Pornire Aplicatie","2025-06-01 14:40:10.505"
"Inca un Test Logare din Main","2025-06-01 14:40:10.515"
"Afisare Toate Produsele","2025-06-01 14:40:31.517"
"Cautare Categorie dupa ID: CAT001","2025-06-01 14:41:34.849"
"Cautare Distribuitor dupa ID: DIST01","2025-06-01 14:41:46.402"
"Initiere Adaugare Produs: ID=PROD111","2025-06-01 14:42:23.936"
"Finalizare Adaugare Produs: PROD111, Nume=LAPTE","2025-06-01 14:42:24.001"
"Afisare Toate Produsele","2025-06-03 15:25:12.369"
"Test Logare Directa din Main - Pornire Aplicatie","2025-06-05 11:28:10.126"
"Inca un Test Logare din Main","2025-06-05 11:28:10.138"
"Afisare Toate Produsele","2025-06-05 11:28:20.026"
"Test Logare Directa din Main - Pornire Aplicatie","2025-06-05 11:40:15.655"
"Inca un Test Logare din Main","2025-06-05 11:40:15.666"
"Afisare Toate Produsele","2025-06-05 11:40:18.787"
"Aplicatie Oprita","2025-06-05 11:43:30.311"
"Test Logare Directa din Main - Pornire Aplicatie","2025-06-05 11:43:33.874"
"Inca un Test Logare din Main","2025-06-05 11:43:33.886"
"Afisare Toate Produsele","2025-06-05 11:43:36.712"
